20.470075,1
16.692038,-1
17.913948,-1
19.084166,-1
20.084084,1
18.468849,-1
21.204564,1
21.484095,1
15.217182,-1
19.114535,-1
17.479639,-1
20.421349,1
17.278903,-1
21.532787,1
18.109535,-1
18.179279,-1
14.956247,-1
20.086864,1
19.524935,1
16.026577,-1
17.996038,-1
19.596766,1
17.111141,-1
20.639461,1
15.837531,-1
21.410850,1
15.373621,-1
14.305049,-1
20.032649,1
21.168599,1
15.762566,-1
15.607186,-1
15.427922,-1
21.529005,1
16.804054,-1
16.432572,-1
21.006662,1
17.540147,-1
17.454230,-1
14.303448,-1
22.471799,1
21.799825,1
15.237732,-1
16.302933,-1
21.914178,1
22.623627,1
20.459607,1
16.572068,-1
17.897121,-1
19.514406,-1
20.891682,1
15.232699,-1
21.214415,1
19.845436,1
20.727817,1
18.290491,-1
18.488501,-1
21.246598,1
24.579161,1
23.136894,1
22.651551,-1
20.178498,1
16.949906,-1
19.579489,-1
21.310166,1
17.858315,-1
16.991962,-1
16.181678,-1
21.746308,1
21.334725,1
19.814711,-1
17.533640,-1
21.290206,1
20.810956,1
15.582902,-1
17.459079,-1
16.588911,-1
12.921676,-1
17.545587,-1
21.662375,1
14.455818,-1
25.425893,1
18.422379,-1
22.004515,1
14.699087,-1
19.041374,1
21.943630,1
19.523844,1
14.880648,-1
21.625705,1
21.503268,1
15.672314,-1
16.396994,-1
18.422211,-1
17.575423,-1
20.413430,1
17.617612,-1
23.789174,1
22.480699,1
19.834021,1
16.976606,-1
22.597335,1
16.253326,-1
21.838497,1
15.244846,-1
14.136733,-1
16.488749,-1
21.081323,1
16.089066,-1
15.523001,-1
17.003325,-1
15.462455,-1
23.514233,-1
15.625196,-1
22.192508,1
22.069638,1
21.345727,1
20.958035,1
18.371732,-1
22.092552,1
16.156790,-1
16.838027,-1
19.902429,1
20.369448,1
21.778524,1
19.704437,-1
20.919748,1
19.271845,1
17.426163,-1
20.122592,-1
19.114816,-1
19.300958,-1
18.892485,-1
18.324038,1
17.779929,-1
23.300952,1
20.780805,1
18.497701,1
20.044939,1
15.157168,-1
18.185412,1
17.671208,-1
22.062478,1
18.390367,1
22.312801,1
21.634602,1
18.459161,1
22.290037,1
16.640161,-1
14.712449,-1
21.423096,1
14.976678,-1
21.470915,1
15.966201,-1
20.175818,1
22.768952,1
17.315231,-1
19.899064,1
20.197330,-1
16.447994,-1
23.338802,1
21.243819,1
20.496601,1
14.571849,-1
19.625902,-1
20.823353,1
22.869907,1
21.340923,1
13.242379,-1
22.435008,1
17.986202,-1
20.844238,1
22.833974,1
17.846451,-1
19.239381,1
20.930966,1
17.916433,-1
14.497195,-1
20.954671,1
16.498762,-1
19.535040,1
20.749602,1
22.123525,1
18.631954,1
22.223668,1
21.637233,1
21.051312,1
20.333691,1
22.467295,1
20.607660,1
16.925926,-1
23.836328,1
17.134335,-1
19.873017,1
20.599558,1
19.388290,-1
14.866917,-1
16.399455,-1
18.517292,-1
16.754950,-1
